intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find my wps number,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find my wps pin,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find my wps pin on my hp wnvvy 6234 printer to connect with my new computer,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find my wps pin on my printer,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find my wps pin?,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find the printer pin?,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find the wps for my printer,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find the wps of my product,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,where can i find the wps pin,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need the wps pin number for my 4650 printer my serial # is th85j5f0sw,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to enter my wps pin number and i don't know where to find it,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to find a wps pin for my printer,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to find the pin number for my printer,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i reinstalled my printer and it wants the wps pin number,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to install a driver on my laptop and it is asking for a wps pin,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to know how to connect my printer to the network using the pin method,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to know the w. p. s. p. n. number,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to know where to find the wps pin,Network Setup,Internet Wireless-Wired
How to setup a password or Wi-Fi Protected Setup (WPS) pin for device network connection. ,network password setup,i need to um i'm looking for the w. p. n. number,Network Setup,Internet Wireless-Wired
How to install toner or ink cartridges.,install or uninstall cartridge,how do i replace an ink cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need to replace my printer ineed new cartige,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do i know which ink cartridges to replace?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i installed my ink cartridge and my printer is not working,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how to install ink cartridges. does the retainer slide over to insert them?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how to add the ink cartridge to this printer,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,receipt email from you saying that i did install a hp ink cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,oh i want to i want to help in installing my in cartridges,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,install the new in cartridge and my siam is in printing,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i'm installing new cartridges and i've never done this before,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do i replace ink cartridges in my 6455e printer,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do i replace my ink cartridges,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do i replace my ink?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,How do I replace the cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do i replace the ink?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how to install ink cartridges. does the retainer slide over to insert them?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,how do ichange the ink cartridge?,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help replacing my ink cartridge i destroyed it by accident,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need my ink cartridge installed,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need to caliber the cartridges in the printer,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i installed my ink cartridge and my printer is not working,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i just um ink cartridges um changing an ink cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help cartridge installed,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help inserting the ink cartridges,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help installing a new cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help putting in new ink cartridge,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need help replacing my ink cartridge i destroyed it by accident,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need my ink cartridge installed,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need to caliber the cartridges in the printer,Cartridge Setup,Print Device
How to install toner or ink cartridges.,install or uninstall cartridge,i need to change my ink in my printer 6960,Cartridge Setup,Print Device
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i have new hp printer n i need ink,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,trying to order ink and it won't let me,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,can i order ink cartridges,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i get ink if i cancel my plan?,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i am trying to buy cartridges and i it keeps me in a loop,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need a new cartridge printer cartridge and i need to know how i can order that,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need to order new ink i don't know how to do it,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need help with my 5744 printer. i believe i need new print cartriges,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i am trying to buy cartridges and i it keeps me in a loop,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how can i order ink for my printer,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i get ink cartridges,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i get ink if i cancel my plan?,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i get ink?,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i order black ink,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i order ink,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how do i order ink cartridges?,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need help ordering ink,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need help with my 5744 printer. i believe i need new print cartriges,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need ink or,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i need ink to print my printer doesn't have any,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how to purchase cartridges,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,how to ship ink to hong kong,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,hp 305 black cartridge,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i am not able to get ink for my printer,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i am trying to buy cartridges and i it keeps me in a loop,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i am trying to set up the ink ordering on line,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,"i bought a printer two months ago and it printed about 50 pages, after that the cartridges ran out, i want to restart them.",Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i have a cartridges in the i bought a new cartridge of black ink but i didn't buy the other three i want to print just black i don't want the other three,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i just need to order ink for my printer,Purchase Supplies,Purchase Product
"The process of buying supplies, such as ink or toner cartridges, that are needed to operate a printer. ",purchase printer supplies,i just want to buy ink,Purchase Supplies,Purchase Product
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,"i just shut my printer off, i'm out of ink and it says it was sent but i haven't got it",Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,my account says i should have ink but i do not remember any being delivered and i am out,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,did bot received hp ink for this month,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am still waiting for the ink that i was supposed to get a few weeks ago,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am looking for my shipment. i ordered it on the sixth and hasn't gotten here yet.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,have not had any ink delivered and printer running short and got no spares,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,my ink has not arrived and it's been two weeks already,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,instant ink did not arrive on time,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i was told by somebody called phillips on the twenty seventh when i had telephone conversation that you're gonna have to send me a new cartridge but i have yet not received the new cartridge,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i never received my new ink cartridge on 1/6/23. i was not getting usps mail.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need ink. a shipment was sent on 9th march and has not arrived,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,hi i never received my black ink,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,hi our replacement ink cartridges have not turned up yet,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,hi there! been waiting my ink since last week until now havent arrived yet. i really need it. i'm out of black ink that i really need the most,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,"hp has provided tracking numbers for ink (on march 4, 2023) to be shipped but canada post has not yet received the ink from hp",Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am enrolled in hp instant ink but i didnt receive cyan ink last shipment and i'm out.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am looking for my shipment. i ordered it on the sixth and hasn't gotten here yet.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am out of ink and i haven't received the shipping as i am already registered,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i am still waiting for the ink that i was supposed to get a few weeks ago,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,"i can see that i was billed for a black ink cartridge in february, but it has not arrived. i am very low on black ink.",Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i did not get a cartridge,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i did not get my ink,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i haven't received my tri colour ink,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i haven't received the last time,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i just finished updating my payment method. i just want to report that i have not received the new ink cartridges that were supposedly shipped to me.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i just looked to see when my paper order would arrive and it says it's been delivered. but i haven't received it.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i missed my instant ink shipment,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need ink i'm on the instant ink program and they did not send me a black cartridge i need customer service automated crap can you give me an option,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need ink. a shipment was sent on 9th march and has not arrived,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need ink. if it says i have it on hand i never received it,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need ink. it was not received.,Order Shipment Issue,Order Shipment & Fulfillment
Failure to make delivery (or partial delivery) to customer by the expected delivery date. Shipment not delivered or received by customer as expected.,shipment delay or not delivered,i need more info and i have not received cartridges from and pay,Order Shipment Issue,Order Shipment & Fulfillment
How to use copy or scan function with print device. ,copy or scan usage,all right i need help in scanning,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how to scan multiple pages into a single file,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i have to learn how to scan more than one piece of paper,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how can i scan multiple pages into separate files,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,can i scan multiple pages at times without having to feed the machine one paper at a time,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,can i scan multiple pages with the document feeder,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,scan documents from my hp deskjet ink advantage 2700,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,it is a black and white copy. plenty of ink. do i just press the black copy button or t,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i need to scan pages. don't know how to do that,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i just want to put a paper and make a copy,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i make a copy on a hp deskjet 4155e without connecting it to wifi,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i make copies from my printer,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i make copies? how do i input how many to make actually?,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i make copys,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i photocopy,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i print a from a physical copy,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i scan multiple pages at a time?,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i scan my document,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i scan on the hp 2600?,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i scan on this device?,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i need to know how to scan papers document,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,trying to copy multiple pages,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how many pages can the printer scan at the one time,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,apple macintosh? no its about trying to scan,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i am tryiing to scan a document with a photosmart printer scanner,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,how do i use the scanner,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i need help with a scanning,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i need to but know about scanning,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,i need to learn to scan,How to Copy or Scan,Print Device
How to use copy or scan function with print device. ,copy or scan usage,scanning information,How to Copy or Scan,Print Device
Device is not printing black ink.,printing no black,a black ink cartridge is not working,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,the new black ink cartridge is skipping,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,black ink cartridge does not work,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,i just set up my brand new hp printer and for some reason it is not printing black and i cannot figure out why.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,i installed a new black cartridge with no problem. the ink display show 3 barsfor a full tank. however it does not print any black. it still prints color just fine. the protective tape is removed and in have inserted it a half dozen times.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,i have just changed the black ink but it is not printing,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer won't print in black. is there a maintenance setting i can use to fix this,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer is not printing black ink,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my hp8025 black cartridge is saying plenty but it is not printing black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,it won't print on the black ink my color cartridges out i put a new in n. and now it won't print in black i've done all the virtual cleaning technic six cetera,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer does not print text that is black or pictures,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer doesn't print anything in black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer doesn't print black ink,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer has plenty of ink but not printing the black color,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer indicates i have ink supply but it's not printing black ink,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer is detecting all of my color ink except black (which is more than 50%+ available),Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer is no longer printing in black even though it says there is ink left.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer is not printing any black ink,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer is not printing black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my printer was working fine and all of a sudden it stopped printing black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my black my black in is it working,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my black will not print,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my copy does not show black print.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my friend is no printing black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my hp officejet pro 8035 will not print black ink. it is a new cartridge. my color ink works fine.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my hp officepro 6978 won't print black ink. have a new cartridge and have done all of the recommended cleaning procedures.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my hp8025 black cartridge is saying plenty but it is not printing black,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my ink black cannot see,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my last black ink replacement cartridge is not printing. only my color shows up on my hp envy 5055. the ink supply says full but i am not getting black output when i print.,Print Quality Issue,Print Device
Device is not printing black ink.,printing no black,my new black cartridge does not print at all,Print Quality Issue,Print Device
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,"amazon just informed me that my ink is running low, do you send out a new cartridge",Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status, are you sending me cyan and yellow ink cartridges,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status, check the shipment status of my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,"i need ink for my printer, how do i check the status of any ink shippments to me",Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,i have ordered a battery for my laptop and the order shows on your site as ''completed' however i have not received the package - is it still on its way or was there a delivery problem?,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,checking to see if ink has been shipped to me,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,"where is my ink, i need new cartridges",Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,when will my next ink be shipped,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,when will my hp ink ship,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,when will i receive my ink shipment,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,i'm in need of ink for my printer however it says that it a not by you so it can't determine or read it however there were sent from you guys,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,waiting for ink choice,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,can you please tell me when my ink will arrive,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,can you tell me if i have an ink delivery due today,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,confirming shipment,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,hi where is my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,how soon can i expect my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,how soon will the ink arrive,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,i want to know the status of my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,let me know when will be my ink be delivered?,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,can you please tell me when my ink will arrive,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,can you tell me if i have an ink delivery due today,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,confirming shipment,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,hi where is my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,how soon can i expect my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,how soon will the ink arrive,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,i want to know the status of my ink,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,let me know when will be my ink be delivered?,Order Shipment Management,Order Shipment & Fulfillment
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,next ink shipment shows shipment processing,Order Shipment Management,Order Shipment & Fulfillment
